en,my
"And he said, Mama, I'm home.",ထို့နောက် သူက အမေ ကျွန်တော်ပြန်ရောက်ပြီ ဟုပြောလိုက်သည်။
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",ငါက ဒါတွေကိုတောင် စဥ်းစားနေခဲ့တာမဟုတ်ပေမယ့် ငါတော်တော်စိတ်ညစ်နေခဲ့ပြီး ငါသူနဲ့စကားပြန်ပြောဖြစ်ခဲ့တယ်။
"And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.",ငါက ဒါဟာ အခွင့်ထူးတယ်လို့ထင်ခဲ့ပြီး  အဲဒါက အခုထိပဲဖြစ်တယ် ၊ ငါသည်သာ AFFC လေတပ် အသက်မွေးဝမ်းကြောင်း နယ်ပယ်ဖြစ်တဲ့ ကိုး နှစ် နှစ် အရာရှိဖြစ်ခဲ့တယ်။
"They told me that, uh, that I would be called in a guy at the end for me to meet.",သူတို့ ငါ့ကိုပြောတာကတော့ အဲ ငါ့ကို ယောက်ကျားတစ်ယောက်က နောက်ဆုံးမှာ တွေ့ဖို့ခေါ်မယ်တဲ့။
There's so much you could talk about on that I'll just skip that.,အဲဒါနဲ့ပါတ်သတ်ပြီး ပြောစရာတွေကများလွန်းလို့ ကျော်လိုက်တော့မယ်။
"I didn't know what I was going for or anything, so was to report to a designated place in Washington.",ငါ ဘာတွေလုပ်နေတယ် ဒါမှမဟုတ် အခြားအရာတွေကိုလည်း ငါမသိခဲ့ဘူး ၊ ဒါကြောင့် ဝါရှင်တန်မှာ သတ်မှတ်ထားတဲ့ နေရာတစ်ခုဆီ သတင်းပို့လိုက်ရတယ်။
"That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.",မက်ဂါတန် ဟိုက်ဒရိုဂျင်ဗုံးကို ၃၀၊ C124 တစ်ခုပေါ်ကနေ ပစ်ချလိုက်ဖို့ ဘယ်လိုမှမဖြစ်နိုင်လို့ ဒါကတော့ ငါတို့ သိမ်းဆည်းချင်တဲ့ အဓိက အရာပဲ ဖြစ်တယ်။
He didn't get to go.,သူ မသွားဖြစ်လိုက်ဘူး။
"And I was like OK, and that was it!",ဒီတော့ ငါလဲ ဟုတ်ပြီလို့ ဒါပါဘဲ။
So I'm not really sure why.,ဆိုတော့ ဘာကြောင့်လဲ ငါမသေချာဘူး။
I was just there just trying to figure it out.,ငါ အဲဒီနေရာမှာဘဲ အဲဒါကို ဘယ်လိုလုပ်မလဲ စဥ်းစားနေခဲ့တယ်။
